,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_lr_all,param_reg_all,param_init_mean,param_init_std_dev
0,0.7946747480245445,0.770659452549257,0.8965366532549803,0.9257695570803373,0.8180564472619524,0.8411393716342144,0.05981693529194152,835,0.6622201893493398,0.6105786235127935,0.6992830161947019,0.7475120840046262,0.6450072372990908,0.6729202300721104,0.04698732405797874,851,0.0016959667205810546,4.4528676622550636e-05,0.0008425712585449219,8.742897393703664e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.0}",1,0.002,0.2,0.0,0.0
1,0.806592077514653,0.7777251106045161,0.9005239083512304,0.9464160674862161,0.8114324386413324,0.8485379205195895,0.06392714472480815,860,0.6726208549858927,0.6179962414838642,0.7059532118466484,0.7708984522595737,0.6447816973205241,0.6824500915793006,0.053000622221815244,902,0.0016957759857177735,0.00011562790810249061,0.0008620262145996094,6.020219725434078e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.1}",1,0.002,0.2,0.0,0.1
2,1.757253779173564,1.9276404407604186,1.6454743236596947,1.8155944098372108,1.8312388616950652,1.7954403630251907,0.09285753261028339,1478,1.411407756924043,1.603950485942498,1.3139564146389373,1.4638428161180943,1.4688723421552168,1.452405963155758,0.09403915783164626,1479,0.0016705989837646484,0.00013124400317340263,0.000778818130493164,1.354217529296875e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.5}",1,0.002,0.2,0.0,0.5
3,2.2511757901869296,2.028545429120502,2.0157765946741266,2.1932612451237663,2.1960284163003565,2.136957495081136,0.09606590613608021,1564,1.8595641804623195,1.6520381286400947,1.6203746129708938,1.8277567268544395,1.8385313898882039,1.7596530077631904,0.10180529614458371,1560,0.0016173839569091797,5.707890166811202e-05,0.0008095741271972656,6.123833069443387e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 1.0}",1,0.002,0.2,0.0,1.0
4,0.8741671048698678,0.9328340061138116,1.0544646713793566,1.0474321969404645,1.0415662373593564,0.9900928433325713,0.07320982896942205,1074,0.6960241235997688,0.7319471806428473,0.8196889661259967,0.7920655244448475,0.8080562319833868,0.7695564053593694,0.047589118473983866,1066,0.0016193389892578125,8.610522550567261e-05,0.0008212089538574219,4.916156413476709e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.0}",1,0.002,0.2,0.5,0.0
5,0.886847776469226,0.9355789426869426,1.0656837495273408,1.038628962815342,1.0420853228628515,0.9937649508723405,0.06976653244615044,1078,0.7052180066499326,0.7248050284190345,0.8370317276915117,0.783100449363803,0.8084411106724453,0.7717192645593454,0.049733501879640596,1069,0.001669597625732422,0.0001321978370195952,0.0008530139923095704,0.0001087538345068706,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.1}",1,0.002,0.2,0.5,0.1
6,1.5629153347405995,1.515443352306448,1.5897844807425654,1.619392824677343,1.545232361827601,1.5665536708589114,0.035809906660451044,1423,1.2099620038260332,1.2051246056194131,1.2425666099609498,1.2747958398605743,1.1974134608452622,1.2259725040224467,0.028864069033383743,1418,0.001608562469482422,4.2357367195883754e-05,0.0008198261260986328,5.335136606581956e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.5}",1,0.002,0.2,0.5,0.5
7,2.1436615587059444,2.1492139787639246,2.2097985809083758,2.1718649044271707,2.1792709283721736,2.1707619902355177,0.023648357434531697,1578,1.7756683709418462,1.8076148149643527,1.8753711284372006,1.773662866779775,1.8070907013819335,1.8078815765010217,0.03678082917255202,1579,0.0016531944274902344,8.690702237892315e-05,0.0008409976959228516,0.00010542227942491736,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 1.0}",1,0.002,0.2,0.5,1.0
8,0.7824311932293407,0.7946046382571657,0.9340587877952723,0.9006710313455041,0.8504132565086938,0.8524357814271953,0.058716485929242175,878,0.6475165759071578,0.6347171415466943,0.7394676001900444,0.7185533029442918,0.6694781328624944,0.6819465506901364,0.04054683006324373,899,0.0016091823577880859,3.370891348116303e-05,0.000805521011352539,9.989318520179406e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 1.0, 'init_std_dev': 0.0}",1,0.002,0.2,1.0,0.0
9,0.7952486693606275,0.8152298029825249,0.9382375521400754,0.9246871167914301,0.865443568972839,0.8677693420494993,0.05697448914727269,924,0.6642223625148851,0.6530558275596879,0.7465032615784879,0.7391767305783109,0.6741171277728542,0.6954150620008452,0.039359824742524384,946,0.001758575439453125,0.0001845020933358428,0.0008661270141601563,0.00012515012496351686,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 1.0, 'init_std_dev': 0.1}",1,0.002,0.2,1.0,0.1
