,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_lr_all,param_reg_all,param_init_mean,param_init_std_dev
0,0.8368612017305168,0.8490236288039937,0.7661583936266629,0.8267447309616337,0.9278983764657102,0.8413372663177036,0.05183964911094305,898,0.6626714599891987,0.6696978591129884,0.6148623561985823,0.6554252278700116,0.7672315823069801,0.6739776970955522,0.050361200862207085,872,0.001788759231567383,9.338945522758165e-05,0.0008294105529785157,3.96989200299793e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.0}",1,0.002,0.2,0.0,0.0
1,0.8409085899360553,0.8549668731321435,0.7739679814582273,0.828160018833219,0.933124565963056,0.8462256058645403,0.051388012994590296,916,0.6687072571373474,0.678267885133475,0.6168765405449478,0.6592863770531124,0.7693940429392927,0.6785064205616351,0.05004856159325831,897,0.0016943454742431641,0.0001597440491455455,0.0007899284362792968,6.515494275143166e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.1}",1,0.002,0.2,0.0,0.1
2,1.7168808353604317,1.8802095538358639,1.5709307750525598,1.7624763241322015,1.6017518952499217,1.7064498767261955,0.11204221288412566,1458,1.3552673521016723,1.5638313037901816,1.2324158322557017,1.4212866338064034,1.237020630729278,1.3619643505366472,0.12386121394878283,1457,0.0015958309173583984,2.5914948007079945e-05,0.0007803916931152343,1.5134904545074928e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.5}",1,0.002,0.2,0.0,0.5
3,2.2111364089945225,2.2458180550639075,2.1536555538186635,1.9457975004796284,2.1339053647049395,2.1380625766123322,0.10409352618166307,1564,1.8318379704484897,1.8571532870311993,1.8095526900399577,1.5298904809974576,1.7722258053632651,1.760132046776074,0.11845226729778313,1558,0.0017865657806396484,0.0001255343531260473,0.0009333610534667969,0.00013623742477093353,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 1.0}",1,0.002,0.2,0.0,1.0
4,0.9159762628984078,0.899548907335913,0.9102227549152049,0.9468766431421348,1.1422802368426834,0.9629809610268689,0.09102095885709949,1063,0.6983358971096977,0.6817684200991067,0.7291281995640988,0.7389864124444975,0.9035552345735866,0.7503548327581975,0.07932243027168076,1046,0.001694488525390625,0.00013713213252513088,0.000786733627319336,1.8050286271680706e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.0}",1,0.002,0.2,0.5,0.0
5,0.9252409429964603,0.8967837783605375,0.9061252922127137,0.948574426279158,1.1494087433463696,0.9652266366390478,0.09378336099695785,1068,0.7003560461600044,0.6821247760581247,0.720361489314284,0.7402177423359527,0.9101823910249345,0.75064848897866,0.08209993637438245,1047,0.001625394821166992,3.613928657522796e-05,0.000959014892578125,0.00031374916102281796,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.1}",1,0.002,0.2,0.5,0.1
6,1.6253172858164167,1.8289205958011723,1.627583419851685,1.6119664201380521,1.5191945184970101,1.6425964480208672,0.10139712355453319,1437,1.2752181332451797,1.4617198299371423,1.3049955683627954,1.2318962726503209,1.119854134622206,1.278736787763529,0.11101570117473196,1429,0.001755094528198242,0.00018295612304493572,0.0008971214294433594,0.000123084168167241,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.5}",1,0.002,0.2,0.5,0.5
7,2.1032463098227923,2.0207139089366746,1.981710912312553,2.1076968567983805,2.202894127065739,2.083252422987228,0.07685462554680436,1540,1.7034673515484469,1.626939440083347,1.6427291802660804,1.6955374766870477,1.8551551108043214,1.7047657118778488,0.08075800543549479,1539,0.001710367202758789,0.00014301962505167885,0.0008342266082763672,5.027048814509621e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 1.0}",1,0.002,0.2,0.5,1.0
8,0.820514408551356,0.831766720799,0.7937729285294319,0.8415910738602214,0.9112746683201218,0.8397839600120263,0.03915812505991607,892,0.6767271299404877,0.6703746240491563,0.6403830899142582,0.6662676610440404,0.7697008102455145,0.6846906630386914,0.04426660140230718,918,0.0016878604888916015,0.00016957462399519064,0.0008830070495605469,9.353712370980458e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 1.0, 'init_std_dev': 0.0}",1,0.002,0.2,1.0,0.0
9,0.8297489684708679,0.8345495074562086,0.8063612783539745,0.8675680781697354,0.9222610000085465,0.8520977664918666,0.040153322144699424,926,0.6821204885591029,0.6709503822921692,0.6549456049968105,0.6926886136997277,0.7762603175426946,0.695393081418101,0.04232358594137059,944,0.001627349853515625,9.739970618831944e-05,0.0007985115051269531,7.387274153497004e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 1.0, 'init_std_dev': 0.1}",1,0.002,0.2,1.0,0.1
