,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_lr_all,param_reg_all,param_init_mean,param_init_std_dev
0,0.8390375906759784,0.9174059674143505,0.8088238730656702,0.8972493911448826,0.7304164909381614,0.8385866626478087,0.06669424494826255,834,0.629357139115465,0.7695825740129568,0.6857624320762469,0.6892806918146073,0.584925389403804,0.671781645284616,0.06230657846203282,833,0.0022683143615722656,0.00017386309321055127,0.0015252113342285156,0.0003793700787783862,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.0}",1,0.002,0.2,0.0,0.0
1,0.84863015696597,0.9205906234354219,0.8202812694749707,0.9155681558230798,0.7192638646917958,0.8448668140782477,0.07365797672457082,859,0.6450883845522831,0.7786120613554475,0.6985957887156996,0.7180852337485168,0.5785539958797592,0.6837870928503411,0.06776286492800654,877,0.0019658565521240234,0.00030036629289472317,0.0010165691375732422,0.00018357149315239505,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.1}",1,0.002,0.2,0.0,0.1
2,1.774835316382312,1.7755153001485864,1.6659486608889185,1.7028834919997702,1.7540135088129207,1.7346392556465016,0.04333304127685353,1457,1.4285514981583058,1.4412667401048567,1.3160682921781643,1.3254799381112867,1.4300376830444517,1.388280830319413,0.05537412897810704,1456,0.001752758026123047,3.527486472381735e-05,0.0009494304656982421,8.84573927800562e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 0.5}",1,0.002,0.2,0.0,0.5
3,2.185022357719772,2.262489551507651,2.2697031753437917,2.069841693853001,2.2282470644900596,2.203060768582855,0.07304799279745028,1576,1.8114962717394023,1.8498182986781615,1.9238615461757307,1.650765085171427,1.865176979112856,1.8202236361755155,0.09211930403287505,1573,0.0016581058502197266,8.779925304754883e-05,0.0008291244506835937,4.5468017048090864e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.0, 'init_std_dev': 1.0}",1,0.002,0.2,0.0,1.0
4,0.9814656136617863,1.0451333516444126,1.020252265316299,0.9859061399289224,0.9118284747375999,0.9889171690578042,0.04505420337408893,1064,0.7454990068380666,0.7987702545266988,0.8100890835601238,0.7310739484067749,0.7338961758662249,0.7638656938395777,0.03366225150376826,1036,0.0016065120697021484,1.015719112233358e-05,0.0007899284362792968,7.029750679848615e-06,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.0}",1,0.002,0.2,0.5,0.0
5,0.9791976922801737,1.0337252459507758,1.0435758109285695,0.9782018607030625,0.9100763150431163,0.9889553849811394,0.04779223766984024,1065,0.7442785614563407,0.7868732732807677,0.825153979507898,0.7257257049748074,0.7353125831380256,0.7634688204715678,0.03725160336385932,1035,0.0017012596130371095,0.0001556502395887733,0.0008649826049804688,0.00015037897268719086,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.1}",1,0.002,0.2,0.5,0.1
6,1.4633234109665225,1.6505473369460442,1.4823294762233854,1.6447413279403542,1.528819277225359,1.553952165860333,0.07943342118257411,1413,1.131100727905477,1.2895204638646227,1.1586883369200844,1.2568421830058363,1.2694789907458472,1.2211261404883735,0.06370945222865886,1408,0.0016369819641113281,3.8929015967484794e-05,0.0007996082305908204,2.503799224202198e-05,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 0.5}",1,0.002,0.2,0.5,0.5
7,2.149998899666674,2.1431630304136675,2.0505034923866803,1.7615571437911826,2.103303713927559,2.0417052560371527,0.14448248129397046,1528,1.788172393428272,1.734871663546536,1.676575549167738,1.380335945950642,1.7804953529840546,1.6720901810154487,0.1512011429207545,1528,0.0018283843994140625,0.000295975032734854,0.0009983539581298827,0.00020875316487105477,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 0.5, 'init_std_dev': 1.0}",1,0.002,0.2,0.5,1.0
8,0.8491215867988458,0.9065809145234122,0.8545975858341388,0.9145000603362425,0.8120813147230205,0.8673762924431319,0.03824059642507485,922,0.6531139881149352,0.7582395079692389,0.7330388021031203,0.7116768888987877,0.6630499596909041,0.7038238293553972,0.040274676167281816,933,0.0018758296966552735,0.00023877176827253588,0.000952768325805664,0.0002192852933887468,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 1.0, 'init_std_dev': 0.0}",1,0.002,0.2,1.0,0.0
9,0.8434003346660871,0.9094480137520374,0.8523769967017515,0.9194861073311508,0.8119444012450542,0.8673311707392163,0.04088513751371405,921,0.6445533383762524,0.7482290318984411,0.7220729090220983,0.7202851789816636,0.6612534678264915,0.6992787852209894,0.03949118029074487,925,0.0017745494842529297,0.00022422554378946863,0.001059579849243164,0.00027198034104746843,"{'n_epochs': 1, 'lr_all': 0.002, 'reg_all': 0.2, 'init_mean': 1.0, 'init_std_dev': 0.1}",1,0.002,0.2,1.0,0.1
